(index),Program Title,Program Type,Target
,,,
0,'Reducing Perseverative Statements - Tolerates being ignored','Skill | Trial By Trial','Tolerates being ignored'
1,'Perseverative Statements','Behavior | Frequency','No targets found'
2,'Follows Instructions to go to and Remains in Protest Area','Skill | Trial By Trial','Follows instruction in 60-sec'
3,'Follows Instructions to go to and Remains in Protest Area','Skill | Trial By Trial','Remains in area for entire duration'
4,'Belly Rubbing/Whining','Behavior | Interval','No targets found'
5,"'Tolerating Language ""Uh-Ohs""'",'Skill | Trial By Trial','Tolerates Staff Request'
6,"'Tolerating Language ""Uh-Ohs""'",'Skill | Trial By Trial','Uses His Device'
7,"'Tolerating Language ""Uh-Ohs""'",'Skill | Trial By Trial','Uses Full Sentence'
8,"'Tolerating Language ""Uh-Ohs""'",'Skill | Trial By Trial','Full Sentence on Device'
9,'Requesting With AAC Device','Behavior | Rate','No targets found'
10,'Following Multi-Step Instructions','Skill | Trial By Trial','2 Step Instructions'
11,'Following Multi-Step Instructions','Skill | Trial By Trial','Novel Directions w/ 1 Preposition Per Instruction'
12,'Following Multi-Step Instructions','Skill | Trial By Trial','3 Step Instructions'
13,'Following Multi-Step Instructions','Skill | Trial By Trial','4 Step Instructions'
14,'Following Multi-Step Instructions','Skill | Trial By Trial','5 Step Instructions'
15,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Music Goes Out In Car'
16,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','TV Glitches'
17,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Told No'
18,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Phone Glitches'
19,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','WIFI Goes Out'
20,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','iPad Glitches'
21,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Tolerates Unexpected Event'
22,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial',"'Tolerates environmental change (e.g., loud noises, baby crying, maladaptive bx of other people)'"
23,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Tolerates an additional person in the home'
24,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial',"'""Mix it up"" - Staff choice'"
25,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial',"'""Not yet""'"
26,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Power Goes Out'
27,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial',"'""No""'"
28,"'Tolerance to Unexpected Events (""Uh-ohs"")'",'Skill | Trial By Trial','Tolerates Bumps'
29,'Mad Libs','Skill | Task Analysis','No targets found'
30,'Tolerating Being Alone','Skill | Trial By Trial','Home Setting - 5 Mins'
31,'Tolerating Being Alone','Skill | Trial By Trial','Community Setting - 5 Mins'
32,'Tolerating Being Alone','Skill | Trial By Trial','Home Setting - 10 Mins'
33,'Tolerating Being Alone','Skill | Trial By Trial','Staff Transition - 5 mins'
34,'Low Stakes Waiting','Behavior | Interval','No targets found'
35,'Tolerating Other Peoples Conversations (In-Person)','Behavior | Interval','No targets found'
36,'Completing Activity Bins','Skill | Task Analysis','No targets found'
37,'Repeat After Me - Auditory Memory','Skill | Trial By Trial','Repeats Phrase'
38,'Repeat After Me - Auditory Memory','Skill | Trial By Trial','Repeats Using AAC Device'
39,'Engaging in Coping Strategies','Skill | Trial By Trial','Squeeze All 10 Finger Tips'
40,'Engaging in Coping Strategies','Skill | Trial By Trial','Squeeze Stress Ball 10 Times'
41,'Engaging in Coping Strategies','Skill | Trial By Trial','Count To Ten'
42,'Engaging in Coping Strategies','Skill | Trial By Trial','Ten Shoulder Taps'
43,'Engaging in Coping Strategies','Skill | Trial By Trial','SELECTS Squeezing Fingers'
44,'Engaging in Coping Strategies','Skill | Trial By Trial','SELECTS Shoulder Taps'
45,'Engaging in Coping Strategies','Skill | Trial By Trial','SELCTS Stress Ball'
46,'Engaging in Coping Strategies','Skill | Trial By Trial','Engages in strategies INDLY'
47,'Engaging in Coping Strategies','Skill | Trial By Trial','Tolerates headphones 1-min'
48,'Tolerating Other Peoples Conversations (Phone)','Behavior | Interval','No targets found'
49,'Self-Monitoring with Tokens','Skill | Trial By Trial','Delivers Token'
50,'Self-Monitoring with Tokens','Skill | Trial By Trial','Resets Timer'
51,'Self-Monitoring with Tokens','Skill | Trial By Trial','3 Tokens - delivers'
52,'Self-Monitoring with Tokens','Skill | Trial By Trial','3 tokens - reset timer'
53,'Protesting - Duration','Behavior | Duration','No targets found'
54,'Labeling Current Emotions','Skill | Trial By Trial','Labels Emotion Independently'
55,'Labeling Current Emotions','Skill | Trial By Trial','Labels Emotion Prompted'
56,'Protesting - Frequency','Behavior | Frequency','No targets found'
57,'Identifying Clean or Dirty','Skill | Trial By Trial','Clean (2d Stimuli)'
58,'Identifying Clean or Dirty','Skill | Trial By Trial','Dirty (2d Stimuli)'
59,'Identifying Clean or Dirty','Skill | Trial By Trial','Clean - Real Life Incidental'
60,'Identifying Clean or Dirty','Skill | Trial By Trial','Dirty - Real Life Incidental'
61,'Identifying Clean or Dirty','Skill | Trial By Trial','Clean / Dirty - Boom Cards'
62,'Tolerating Staff Transitions','Behavior | Interval','No targets found'
63,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Places Object In Front'
64,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Places Object On Top'
65,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Places Object Under'
66,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Places Object In'
67,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Places Object Behind'
68,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Labels in front'
69,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Labels on top'
70,'Prepositions - Labeling and Incidental','Skill | Trial By Trial','Labels under'
